WHITE: 23 {(Name: LegalMoves, Weight: 0.6018348423516917), (Name: Stone Count, Weight: 0.2026622982863803), (Name: SidePieces, Weight: 0.04973571027323044), (Name: CornerPieces, Weight: 0.047695362534396324), (Name: BlockedAdjacent, Weight: 0.09807178655430131), }
WHITE: 24 {(Name: LegalMoves, Weight: 0.6277966313217584), (Name: Stone Count, Weight: 0.1431957897354172), (Name: SidePieces, Weight: 0.05999211190004603), (Name: CornerPieces, Weight: 0.06868321601978485), (Name: BlockedAdjacent, Weight: 0.10033225102299348), }
WHITE: 25 {(Name: LegalMoves, Weight: 0.5471374799019185), (Name: Stone Count, Weight: 0.18776617966468306), (Name: SidePieces, Weight: 0.07336241566622119), (Name: CornerPieces, Weight: 0.07914635389532461), (Name: BlockedAdjacent, Weight: 0.11258757087185263), }
WHITE: 26 {(Name: LegalMoves, Weight: 0.5721796956939131), (Name: Stone Count, Weight: 0.13879236533903594), (Name: SidePieces, Weight: 0.08797872655912453), (Name: CornerPieces, Weight: 0.08241556278140087), (Name: BlockedAdjacent, Weight: 0.1186336496265255), }
WHITE: 27 {(Name: LegalMoves, Weight: 0.5085142632932689), (Name: Stone Count, Weight: 0.18257287506278727), (Name: SidePieces, Weight: 0.09367386232587499), (Name: CornerPieces, Weight: 0.09761625884813913), (Name: BlockedAdjacent, Weight: 0.11762274046992958), }
WHITE: 28 {(Name: LegalMoves, Weight: 0.5350706860397031), (Name: Stone Count, Weight: 0.10832498083675707), (Name: SidePieces, Weight: 0.1178829785283656), (Name: CornerPieces, Weight: 0.10887618653899389), (Name: BlockedAdjacent, Weight: 0.12984516805618035), }
WHITE: 29 {(Name: LegalMoves, Weight: 0.4650838924986811), (Name: Stone Count, Weight: 0.14961284819631812), (Name: SidePieces, Weight: 0.12590092980115133), (Name: CornerPieces, Weight: 0.12367673489228723), (Name: BlockedAdjacent, Weight: 0.13572559461156222), }
WHITE: 30 {(Name: LegalMoves, Weight: 0.48870990315330437), (Name: Stone Count, Weight: 0.10291522285497387), (Name: SidePieces, Weight: 0.14159072475031817), (Name: CornerPieces, Weight: 0.12593333687231226), (Name: BlockedAdjacent, Weight: 0.14085081236909133), }
WHITE: 31 {(Name: LegalMoves, Weight: 0.43222382838584716), (Name: Stone Count, Weight: 0.1397542051170217), (Name: SidePieces, Weight: 0.15073364862713706), (Name: CornerPieces, Weight: 0.1308691265839564), (Name: BlockedAdjacent, Weight: 0.14641919128603756), }
WHITE: 32 {(Name: LegalMoves, Weight: 0.4499316445958752), (Name: Stone Count, Weight: 0.09148780451850809), (Name: SidePieces, Weight: 0.15870114617346115), (Name: CornerPieces, Weight: 0.14982691976074136), (Name: BlockedAdjacent, Weight: 0.15005248495141427), }
