move J
0 0.500125089378182
1 0.5
2 0.494437485620728
3 0.504480269011383
4 0.501347795399336
5 0.49996178588227
6 0.490189731649888
7 0.467102704725224
8 0.405872560371024
9 0.61283534523486
10 0.613987754802091
11 0.609803464371436
12 0.611753812417601
13 0.525747642111665
14 0.500314168041818
15 0.540704695515191
16 0.517764339469161
17 0.430375806307904
18 0.436612347472031
19 0.408378898645208
20 0.412207784232894
21 0.428164989922082
22 0.39771299007248
23 0.372152480959667
24 0.35490318708981
25 0.339367950842214
26 0.323303062476868
27 0.319765770667591
28 0.328273142230631
29 0.335390778114997
30 0.334335002704197
31 0.345550003659537
32 0.34599288896022
33 0.493712910283953
34 0.660272902727018
35 0.656465618260695
36 0.638133844290886
37 0.625357741883144
38 0.691222848870921
39 0.813221935603235
40 0.851502542014596
41 0.860045451191882
42 0.861511378979773
43 0.840181194276472
44 0.808863022313455
45 0.832047822950253
46 0.876038118067299
47 0.877548249913791
48 0.802183692229661
