move J
0 0.619047619047619
1 0.643809523809524
2 0.65
3 0.65
4 0.635555555555556
5 0.481777777777778
6 0.428121212121212
7 0.434285714285714
8 0.448888888888889
9 0.669333333333333
10 0.759259259259259
11 0.778989898989899
12 0.766013071895425
13 0.702417153996101
14 0.741052631578947
15 0.738518518518519
16 0.658598290598291
17 0.767111111111111
18 0.771111111111111
19 0.706302521008403
20 0.882865497076023
21 0.898099415204678
22 0.898926495726496
23 0.841047890431106
24 0.842074074074074
25 0.845370569280344
26 0.884108309990663
27 0.865761705101328
28 0.905354723707665
29 0.890060606060606
30 0.88981240981241
31 0.902222222222222
32 0.902298850574713
33 0.869941520467836
34 0.865854341736695
35 0.861691919191919
36 0.828746803069054
37 0.834095238095238
38 0.876809741248097
39 0.86446993006993
40 0.857904273504273
41 0.824338624338624
42 0.803781394414306
43 0.80649454962708
44 0.807569288389513
45 0.759257853679106
46 0.776507936507936
47 0.778548752834467
