move J
0 0.5
1 0.5
2 0.577466671298711
3 0.601952457485706
4 0.585416601878904
5 0.585416601878904
6 0.663052174662872
7 0.709695645186758
8 0.735017383473461
9 0.765668585372772
10 0.739579952328181
11 0.735017383473461
12 0.727521734640708
13 0.724861988280698
14 0.728844496199429
15 0.73201912394036
16 0.629717386982105
17 0.503992031557467
18 0.746513038355735
19 0.697578068794864
20 0.783408675388964
21 0.790323980952208
22 0.800066642241771
23 0.760641811093735
24 0.939314391332419
25 0.948788633889561
26 0.915014513618551
27 0.953026655032626
28 0.950029007781643
29 0.945869075878984
30 0.958440937376037
31 0.930265636611609
32 0.907488555244427
33 0.884237647417731
34 0.926786060128317
35 0.910363969318032
36 0.988130435178108
37 0.970823196591251
38 0.934809544083247
39 0.917580399727425
40 0.933841359972285
41 0.930586587184771
42 0.924862637167032
43 0.89135979376884
44 0.90589497159549
45 0.879559773944277
46 0.847017439681411
