move J
0 0.606616430079258
1 0.603018437116463
2 0.5893589496316
3 0.55433779764295
4 0.426833860354527
5 0.478046481718347
6 0.540432343450554
7 0.484280820744873
8 0.317857401790227
9 0.333297272096953
10 0.268646512996822
11 0.317575153272294
12 0.394457566622002
13 0.395410133008684
14 0.387352032879539
15 0.423108442627222
16 0.384064421599083
17 0.401331904767737
18 0.406244983051882
19 0.431509679389093
20 0.440612826521931
21 0.434977894983831
22 0.441319100047108
23 0.301803225627457
24 0.294588119004619
25 0.285814686600458
26 0.285822282036995
27 0.250962092979722
28 0.277386898874867
29 0.279939799413012
30 0.258441907078979
31 0.239835201303084
32 0.24716516144526
33 0.237414712295075
34 0.23509178923172
35 0.217773318936148
36 0.201337993637356
37 0.226852612892951
38 0.19753402743022
39 0.170351556702626
40 0.16767863112317
41 0.180649778888372
42 0.179155107984151
43 0.152519325114491
44 0.18715317010562
45 0.171311943034593
46 0.178551860179985
47 0.202016426379144
48 0.277171213312208
49 0.210002493512622
