||| WHITE | 20000 ||
WHITE: 22 {(Name: LegalMoves, Weight: 0.6809904640770186), (Name: Stone Count, Weight: 0.1590103572712778), (Name: SidePieces, Weight: 0.03846753992169354), (Name: CornerPieces, Weight: 0.03353089306007519), (Name: BlockedAdjacent, Weight: 0.0880007456699348), }
WHITE: 23 {(Name: LegalMoves, Weight: 0.5974704056963356), (Name: Stone Count, Weight: 0.20763981891924585), (Name: SidePieces, Weight: 0.04535504629237613), (Name: CornerPieces, Weight: 0.05473032132857236), (Name: BlockedAdjacent, Weight: 0.09480440776347016), }
WHITE: 24 {(Name: LegalMoves, Weight: 0.6318728297604932), (Name: Stone Count, Weight: 0.1484878312594069), (Name: SidePieces, Weight: 0.053590609431199726), (Name: CornerPieces, Weight: 0.07133819412894558), (Name: BlockedAdjacent, Weight: 0.09471053541995449), }
WHITE: 25 {(Name: LegalMoves, Weight: 0.5601728408632457), (Name: Stone Count, Weight: 0.20016257799154222), (Name: SidePieces, Weight: 0.06288867317670857), (Name: CornerPieces, Weight: 0.07593847648801508), (Name: BlockedAdjacent, Weight: 0.10083743148048854), }
WHITE: 26 {(Name: LegalMoves, Weight: 0.5933111377720178), (Name: Stone Count, Weight: 0.14515813652940776), (Name: SidePieces, Weight: 0.07054220422326578), (Name: CornerPieces, Weight: 0.0888602278682343), (Name: BlockedAdjacent, Weight: 0.10212829360707418), }
WHITE: 27 {(Name: LegalMoves, Weight: 0.5219040745643416), (Name: Stone Count, Weight: 0.177959589079371), (Name: SidePieces, Weight: 0.08773838804383334), (Name: CornerPieces, Weight: 0.09938003590184591), (Name: BlockedAdjacent, Weight: 0.1130179124106082), }
WHITE: 28 {(Name: LegalMoves, Weight: 0.5429622579087156), (Name: Stone Count, Weight: 0.11652147107854148), (Name: SidePieces, Weight: 0.10991828278667859), (Name: CornerPieces, Weight: 0.10511134900152476), (Name: BlockedAdjacent, Weight: 0.12548663922453962), }
WHITE: 29 {(Name: LegalMoves, Weight: 0.49095034252869146), (Name: Stone Count, Weight: 0.17130553347251506), (Name: SidePieces, Weight: 0.11035040786899343), (Name: CornerPieces, Weight: 0.10384206625713288), (Name: BlockedAdjacent, Weight: 0.12355164987266706), }
WHITE: 30 {(Name: LegalMoves, Weight: 0.5054815696324187), (Name: Stone Count, Weight: 0.1101509295090579), (Name: SidePieces, Weight: 0.13874250360900228), (Name: CornerPieces, Weight: 0.10620312573748933), (Name: BlockedAdjacent, Weight: 0.13942187151203186), }
WHITE: 31 {(Name: LegalMoves, Weight: 0.4490685625795739), (Name: Stone Count, Weight: 0.14951469441311901), (Name: SidePieces, Weight: 0.13774542066739942), (Name: CornerPieces, Weight: 0.12310196001992206), (Name: BlockedAdjacent, Weight: 0.14056936231998574), }
WHITE: 32 {(Name: LegalMoves, Weight: 0.4681344505499349), (Name: Stone Count, Weight: 0.09571316122285932), (Name: SidePieces, Weight: 0.15331131107849977), (Name: CornerPieces, Weight: 0.14030969254177492), (Name: BlockedAdjacent, Weight: 0.1425313846069311), }
WHITE: 33 {(Name: LegalMoves, Weight: 0.4178153293323057), (Name: Stone Count, Weight: 0.12311715391239104), (Name: SidePieces, Weight: 0.16594187511283678), (Name: CornerPieces, Weight: 0.14007671622029308), (Name: BlockedAdjacent, Weight: 0.15304892542217335), }
WHITE: 34 {(Name: LegalMoves, Weight: 0.4296662380105791), (Name: Stone Count, Weight: 0.07671196146559388), (Name: SidePieces, Weight: 0.18042329980458724), (Name: CornerPieces, Weight: 0.1524789726140674), (Name: BlockedAdjacent, Weight: 0.16071952810517237), }
WHITE: 35 {(Name: LegalMoves, Weight: 0.3899061859630885), (Name: Stone Count, Weight: 0.10026441268678715), (Name: SidePieces, Weight: 0.1920051356506744), (Name: CornerPieces, Weight: 0.1510763452477975), (Name: BlockedAdjacent, Weight: 0.16674792045165254), }
WHITE: 36 {(Name: LegalMoves, Weight: 0.4105502255137139), (Name: Stone Count, Weight: 0.06555979434569456), (Name: SidePieces, Weight: 0.20673194214333937), (Name: CornerPieces, Weight: 0.1441350105547821), (Name: BlockedAdjacent, Weight: 0.17302302744247008), }
WHITE: 37 {(Name: LegalMoves, Weight: 0.3679994936204485), (Name: Stone Count, Weight: 0.09335878907729679), (Name: SidePieces, Weight: 0.20699644359818173), (Name: CornerPieces, Weight: 0.15579383484857162), (Name: BlockedAdjacent, Weight: 0.17585143885550128), }
WHITE: 38 {(Name: LegalMoves, Weight: 0.3833006487464177), (Name: Stone Count, Weight: 0.061197916399365046), (Name: SidePieces, Weight: 0.21760966391646447), (Name: CornerPieces, Weight: 0.16309103596345434), (Name: BlockedAdjacent, Weight: 0.17480073497429854), }
WHITE: 39 {(Name: LegalMoves, Weight: 0.33485771113432616), (Name: Stone Count, Weight: 0.08723103267650688), (Name: SidePieces, Weight: 0.22714183449282163), (Name: CornerPieces, Weight: 0.1692263119335648), (Name: BlockedAdjacent, Weight: 0.18154310976278049), }
